,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
47,24,Eintracht Frankfurt,1,1,VfB Stuttgart,1.80,3.81,3.98
48,24,SC Freiburg,0,3,RB Leipzig,4.51,3.85,1.71
49,24,Hertha Berlin,2,1,Augsburg,2.02,3.47,3.54
50,24,TSG Hoffenheim,2,1,VfL Wolfsburg,2.83,3.51,2.29
51,24,Bayern Munchen,4,2,Borussia Dortmund,1.65,4.23,4.39
52,24,FC Koln,1,1,Werder Bremen,2.62,3.14,2.70
53,24,Arminia Bielefeld,0,0,Union Berlin,3.39,3.22,2.16
54,25,Augsburg,3,1,Borussia Monchengladbach,3.89,3.64,1.87
55,25,FSV Mainz 05,1,0,SC Freiburg,2.55,3.41,2.62
56,25,Union Berlin,2,1,FC Koln,1.93,3.45,3.83
57,25,Werder Bremen,1,3,Bayern Munchen,9.22,5.87,1.27
58,25,VfL Wolfsburg,5,0,Schalke 04,1.40,4.64,7.53
59,25,Borussia Dortmund,2,0,Hertha Berlin,1.39,4.94,7.17
60,25,Bayer Leverkusen,1,2,Arminia Bielefeld,1.37,4.89,7.51
61,25,RB Leipzig,1,1,Eintracht Frankfurt,1.69,3.94,4.45
62,25,VfB Stuttgart,2,0,TSG Hoffenheim,2.32,3.66,2.75
63,26,Arminia Bielefeld,0,1,RB Leipzig,8.52,4.76,1.35
64,26,Werder Bremen,1,2,VfL Wolfsburg,3.67,3.46,1.99
65,26,Bayern Munchen,4,0,VfB Stuttgart,1.22,6.66,10.71
66,26,Eintracht Frankfurt,5,2,Union Berlin,1.77,3.76,4.26
67,26,FC Koln,2,2,Borussia Dortmund,5.95,4.43,1.49
68,26,Schalke 04,0,3,Borussia Monchengladbach,5.74,4.16,1.54
69,26,TSG Hoffenheim,1,2,FSV Mainz 05,1.82,3.84,3.97
70,26,Hertha Berlin,3,0,Bayer Leverkusen,3.81,3.53,1.93
71,26,SC Freiburg,2,0,Augsburg,1.92,3.51,3.80
72,27,VfL Wolfsburg,1,0,FC Koln,1.55,4.06,5.74
73,27,Borussia Dortmund,1,2,Eintracht Frankfurt,1.76,3.90,4.16
74,27,FSV Mainz 05,1,1,Arminia Bielefeld,1.95,3.41,3.86
75,27,Augsburg,2,1,TSG Hoffenheim,3.25,3.52,2.10
76,27,Bayer Leverkusen,2,1,Schalke 04,1.25,5.79,11.38
77,27,RB Leipzig,0,1,Bayern Munchen,3.06,3.83,2.08
78,27,Borussia Monchengladbach,2,1,SC Freiburg,1.72,3.90,4.37
79,27,VfB Stuttgart,1,0,Werder Bremen,1.92,3.57,3.75
80,27,Union Berlin,1,1,Hertha Berlin,2.25,3.24,3.20
81,28,Arminia Bielefeld,1,0,SC Freiburg,3.31,3.23,2.20
82,28,Werder Bremen,1,4,RB Leipzig,6.25,4.22,1.51
83,28,Hertha Berlin,2,2,Borussia Monchengladbach,3.14,3.49,2.17
84,28,Bayern Munchen,1,1,Union Berlin,1.30,5.55,9.01
85,28,Eintracht Frankfurt,4,3,VfL Wolfsburg,2.34,3.40,2.91
86,28,VfB Stuttgart,2,3,Borussia Dortmund,3.83,3.81,1.85
87,28,Schalke 04,1,0,Augsburg,3.31,3.23,2.22
88,28,FC Koln,2,3,FSV Mainz 05,2.85,3.26,2.46
89,28,TSG Hoffenheim,0,0,Bayer Leverkusen,2.81,3.46,2.39
90,29,RB Leipzig,0,0,TSG Hoffenheim,1.43,4.62,6.76
91,29,Borussia Monchengladbach,4,0,Eintracht Frankfurt,2.36,3.54,2.82
92,29,SC Freiburg,4,0,Schalke 04,1.45,4.45,7.14
93,29,Augsburg,0,0,Arminia Bielefeld,2.15,3.41,3.31
94,29,Union Berlin,2,1,VfB Stuttgart,2.29,3.44,3.00
95,29,VfL Wolfsburg,2,3,Bayern Munchen,4.23,3.95,1.75
96,29,Bayer Leverkusen,3,0,FC Koln,1.50,4.21,6.25
97,29,Borussia Dortmund,4,1,Werder Bremen,1.39,4.90,7.12
98,29,FSV Mainz 05,1,1,Hertha Berlin,2.28,3.39,3.07
99,30,FC Koln,2,1,RB Leipzig,6.79,4.61,1.42
100,30,Eintracht Frankfurt,2,0,Augsburg,1.50,4.36,5.96
101,30,Arminia Bielefeld,1,0,Schalke 04,1.86,3.46,4.16
102,30,Bayern Munchen,2,0,Bayer Leverkusen,1.45,4.82,5.89
103,30,TSG Hoffenheim,3,2,Borussia Monchengladbach,2.72,3.65,2.37
104,30,VfB Stuttgart,1,3,VfL Wolfsburg,2.98,3.57,2.22
105,30,Werder Bremen,0,1,FSV Mainz 05,2.58,3.27,2.70
106,30,Borussia Dortmund,2,0,Union Berlin,1.54,4.25,5.37
107,30,Hertha Berlin,3,0,SC Freiburg,2.14,3.51,3.22
108,31,Augsburg,2,3,FC Koln,2.75,3.27,2.51
109,31,SC Freiburg,1,1,TSG Hoffenheim,2.78,3.50,2.40
110,31,FSV Mainz 05,2,1,Bayern Munchen,8.71,5.73,1.30
